url,inventory_match,http_status,x_robots_tag,discovered_via,checked_on,scope_note
https://infosecnexus.com/2026-07-27-cyber-security-brief-exploitation-signals-response-focus/,true,200,"noindex, follow, noarchive","Google public site search",2026-08-07,"Preliminary result; site search is not exhaustive"
https://infosecnexus.com/2026-07-28-tutorial-run-daily-vulnerability-standup/,true,200,"noindex, follow, noarchive","Google public site search",2026-08-07,"Preliminary result; site search is not exhaustive"
https://infosecnexus.com/2026-07-29-ai-security-brief-prompt-injection-connectors-data-boundaries/,true,200,"noindex, follow, noarchive","Google public site search",2026-08-07,"Preliminary result; site search is not exhaustive"
https://infosecnexus.com/2026-07-28-network-security-brief-edge-devices-dns-segmentation/,true,200,"noindex, follow, noarchive","Google public site search",2026-08-07,"Preliminary result; site search is not exhaustive"
https://infosecnexus.com/2026-07-27-windows-security-brief-update-review-identity-controls/,true,200,"noindex, follow, noarchive","Google public site search",2026-08-07,"Preliminary result; site search is not exhaustive"
https://infosecnexus.com/2026-07-23-linux-security-brief-kernel-package-service-checks/,true,200,"noindex, follow, noarchive","Google public site search",2026-08-07,"Preliminary result; site search is not exhaustive"
https://infosecnexus.com/2026-07-28-linux-security-brief-kernel-package-service-checks/,true,200,"noindex, follow, noarchive","Google public site search",2026-08-07,"Preliminary result; site search is not exhaustive"
https://infosecnexus.com/2026-07-27-devops-security-brief-pipelines-secrets-build-dependencies/,true,200,"noindex, follow, noarchive","Google public site search",2026-08-07,"Preliminary result; site search is not exhaustive"
https://infosecnexus.com/2026-07-29-web-security-brief-apis-headers-wordpress-attack-surface/,true,200,"noindex, follow, noarchive","Google public site search",2026-08-07,"Preliminary result; site search is not exhaustive"
https://infosecnexus.com/2026-07-27-web-security-brief-apis-headers-wordpress-attack-surface/,true,200,"noindex, follow, noarchive","Google public site search",2026-08-07,"Preliminary result; site search is not exhaustive"
https://infosecnexus.com/2026-07-29-daily-cve-watch-kev-nvd-patch-priority/,true,200,"noindex, follow, noarchive","Google public site search",2026-08-07,"Preliminary result; site search is not exhaustive"
