"url","last_crawled","in_retirement_inventory","current_http_status","current_x_robots_tag","current_redirect_target","recommended_action"
"https://infosecnexus.com/category/cybersecurity/","2026-08-07","false","200","","","keep_indexable"
"https://infosecnexus.com/","2026-08-07","false","200","","","keep_indexable"
"https://infosecnexus.com/2026-08-06-live-cybersecurity-brief/","2026-08-07","false","301","","https://infosecnexus.com/live-cybersecurity-brief/","keep_redirect_for_consolidation"
"https://infosecnexus.com/cve-2026-63077-cve-2026-63077-jetbrains-teamcity-deserialization-of-untrusted-data/","2026-08-07","false","200","","","keep_indexable"
"https://infosecnexus.com/2026-08-07-live-cybersecurity-brief/","2026-08-07","false","301","","https://infosecnexus.com/live-cybersecurity-brief/","keep_redirect_for_consolidation"
"https://infosecnexus.com/category/tutorials/","2026-08-06","false","200","","","keep_indexable"
"https://infosecnexus.com/2026-07-23-ai-security-brief-prompt-injection-connectors-data-boundaries/","2026-08-06","true","200","noindex, follow, noarchive","","wait_for_google_recrawl_noindex"
"https://infosecnexus.com/2026-08-06-ai-security-brief-prompt-injection-connectors-data-boundaries/","2026-08-06","true","200","noindex, follow, noarchive","","wait_for_google_recrawl_noindex"
"https://infosecnexus.com/2026-08-04-daily-cve-watch-kev-nvd-patch-priority/","2026-08-06","true","200","noindex, follow, noarchive","","wait_for_google_recrawl_noindex"
"https://infosecnexus.com/2026-08-06-cyber-security-brief-exploitation-signals-response-focus/","2026-08-06","true","200","noindex, follow, noarchive","","wait_for_google_recrawl_noindex"
"https://infosecnexus.com/2026-08-06-devops-security-brief-pipelines-secrets-build-dependencies/","2026-08-06","true","200","noindex, follow, noarchive","","wait_for_google_recrawl_noindex"
"https://infosecnexus.com/2026-07-23-network-security-brief-edge-devices-dns-segmentation/","2026-08-06","true","200","noindex, follow, noarchive","","wait_for_google_recrawl_noindex"
"https://infosecnexus.com/2026-08-06-network-security-brief-edge-devices-dns-segmentation/","2026-08-06","true","200","noindex, follow, noarchive","","wait_for_google_recrawl_noindex"
"https://infosecnexus.com/2026-08-06-daily-cve-watch-kev-nvd-patch-priority/","2026-08-06","true","200","noindex, follow, noarchive","","wait_for_google_recrawl_noindex"
"https://infosecnexus.com/2026-08-06-linux-security-brief-kernel-package-service-checks/","2026-08-06","true","200","noindex, follow, noarchive","","wait_for_google_recrawl_noindex"
"https://infosecnexus.com/2026-08-06-web-security-brief-apis-headers-wordpress-attack-surface/","2026-08-06","true","200","noindex, follow, noarchive","","wait_for_google_recrawl_noindex"
"https://infosecnexus.com/cloud-storage-exposure-checklist/","2026-08-06","true","200","noindex, follow, noarchive","","wait_for_google_recrawl_noindex"
"https://infosecnexus.com/2026-08-06-windows-security-brief-update-review-identity-controls/","2026-08-06","true","200","noindex, follow, noarchive","","wait_for_google_recrawl_noindex"
"https://infosecnexus.com/ssh-hardening-baseline-admin-teams/","2026-08-06","true","200","noindex, follow, noarchive","","wait_for_google_recrawl_noindex"
"https://infosecnexus.com/2026-07-22-windows-security-brief-update-review-identity-controls/","2026-08-06","true","200","noindex, follow, noarchive","","wait_for_google_recrawl_noindex"
"https://infosecnexus.com/2026-08-03-web-security-brief-apis-headers-wordpress-attack-surface/","2026-08-05","true","200","noindex, follow, noarchive","","wait_for_google_recrawl_noindex"
"https://infosecnexus.com/2026-07-28-cyber-security-brief-exploitation-signals-response-focus/","2026-08-05","true","200","noindex, follow, noarchive","","wait_for_google_recrawl_noindex"
"https://infosecnexus.com/2026-07-30-daily-cve-watch-kev-nvd-patch-priority/","2026-08-05","true","200","noindex, follow, noarchive","","wait_for_google_recrawl_noindex"
